slug,agency,ret_2024
hilliard-oh-pd,Hilliard OH PD,30
hillsborough-ca-pd,Hillsborough CA PD,30
hoke-county-nc-so,Hoke County NC SO,30
holland-oh-pd,Holland OH PD,30
hubbard-oh-pd,Hubbard OH PD,30
hudson-nc-pd,Hudson NC PD,30
huntersville-pd-nc,Huntersville PD NC,30
huntsville-airport-al-pd,Huntsville Airport AL PD,30
indialantic-fl-pd,Indialantic FL PD,30
indian-hill-oh-pd,Indian Hill OH PD,30
jackson-mi-pd,Jackson MI PD,30
jackson-township-oh-pd-mahoning-county,Jackson Township OH PD (Mahoning County),30
jemison-al-pd,Jemison AL PD,30
johnson-county-in-so,Johnson County IN SO,30
johnston-ri-pd,Johnston RI PD,30
junction-city-ks-pd,Junction City KS PD,30
jupiter-inlet-colony-fl-pd,Jupiter Inlet Colony FL PD,30
kearney-ne-pd,Kearney NE PD,30
kent-wa-pd,Kent WA PD,30
kern-county-ca-so-,Kern County CA SO,30
kings-county-ca-das-office,Kings County CA DAs Office,30
lafayette-la-pd,Lafayette LA PD,30
lafayette-pd-in,Lafayette IN PD,30
lake-county-ca-so,Lake County CA SO,30
lakewood-wa-pd,Lakewood WA PD,30
lander-university-sc-pd,Lander University SC PD,30
largo-fl-pd,Largo FL PD,365
lawton-ok-pd,Lawton OK PD,30
lexington-sc-pd,Lexington SC PD,30
lincoln-ca-pd,Lincoln CA PD,30
lockney-pd-tx,Lockney TX PD,30
lodi-ca-pd,Lodi CA PD,30
lone-peak-ut-pd,Lone Peak UT PD,30
lorain-oh-pd,Lorain OH PD,30
los-altos-ca-pd,Los Altos CA PD,30
los-gatos-ca-pd,Los Gatos Monte Sereno PD - CA,30
louisville-co-pd,Louisville CO PD,30
loveland-oh-pd,Loveland OH PD,30
madison-sd-pd-,Madison SD PD,30
mahoning-twp-pa-pd,Mahoning Twp PA PD,30
mansfield-oh-pd,Mansfield OH PD,30
maple-bluff-wi-pd,Maple Bluff WI PD,30
maple-grove-mn-pd,Maple Grove MN PD,30
margaret-al-pd,Margaret AL PD,30
marine-city-mi-pd,Marine City MI PD,30
marion-county-oh-so,Marion County OH SO,30
marion-oh-pd,Marion OH PD,-Infinity
marysville-oh-pd,Marysville OH PD,30
mchenry-il-pd,McHenry IL PD,NA
medina-wa-pd,Medina WA PD,30
menifee-ca-pd,Menifee CA PD,30
mentor-on-the-lake-oh-pd,Mentor on the Lake OH PD,30
miami-county-oh-so,Miami County OH SO,30
miami-township-oh-pd-clermont,Miami Township OH PD (Clermont),30
michigan-city-in-pd,Michigan City IN PD,30
middleburg-heights-oh-pd,Middleburg Heights OH PD,30
milan-mi-pd,Milan MI PD,30
mint-hill-nc-pd,Mint Hill NC PD,30
monrovia-ca-pd,Monrovia CA PD,30
monterey-park-ca-pd,Monterey Park CA PD,30
montgomery-twp-nj-pd,Montgomery TWP NJ PD,NA
mooresville-in-pd,Mooresville IN PD,30
mooresville-nc-pd,Mooresville NC PD,30
morgan-hill-ca-pd,Morgan Hill CA PD,30
morgans-point-pd-tx,Morgan's Point PD TX,30
morgans-point-resort-tx-pd,Morgan's Point Resort TX PD,30
moundville-al-pd,Moundville AL PD,30
mount-dora-fl-pd,Mount Dora FL PD,-Infinity
mount-vernon-oh-pd,Mount Vernon OH PD,30
mt-holly-nc-pd,Mount Holly NC PD,30
muncie-in-pd,Muncie IN PD,30
murrieta-ca-pd,Murrieta CA PD,30
muskegon-mi-pd,Muskegon MI PD,30
muskogee-ok-pd,Muskogee OK PD,30
napa-ca-pd,Napa CA PD,30
napa-county-ca-so,Napa County CA SO,30
napoleon-twp-mi-pd,Napoleon Twp MI PD,30
nashville-nc-pd-,Nashville NC PD,30
nc-fuquay-varina-pd,Fuquay-Varina NC PD,30
nevada-county-ca-so,Nevada County CA SO,30
newport-news-va-pd,Newport News VA PD,30
niles-oh-pd,Niles OH PD,30
normal-il-pd-,Normal IL PD,365
north-college-hill-oh-pd,North College Hill OH PD,30
north-royalton-oh-pd,North Royalton OH PD,30
northlake-tx-pd,Northlake TX PD,30
novato-ca-pd,Novato CA PD,30
oak-park-il-pd,Oak Park IL PD,30
oakley-ca-pd,Oakley CA PD,30
oberlin-oh-pd,Oberlin OH PD,30
odessa-tx-pd,Odessa TX PD,30
ohio-le-flock-training,Ohio LE Flock Training,NA
olmsted-falls-oh-pd,Olmsted Falls OH PD,30
ontario-oh-pd,Ontario OH PD,30
oroville-ca-pd,Oroville CA PD,30
osage-county-ok-so,Osage County OK SO,30
pacific-grove-ca-pd,Pacific Grove CA PD,30
palm-springs-ca-pd,Palm Springs CA PD,30
palo-alto-ca-pd,Palo Alto CA PD,30
park-city-ks-pd,Park City KS PD,30
parsons-ks-pd,Parsons KS PD,30
pawtucket-ri-pd,Pawtucket RI PD,30
paxton-il-pd-,Paxton IL PD,30
peotone-il-pd-,Peotone IL PD,30
pflugerville-tx-pd,Pflugerville TX PD,30
piedmont-ca-pd,Piedmont CA PD,30
pierce-township-oh-pd,Pierce Township OH PD,30
pineville-nc-pd,Pineville NC PD,30
pittsboro-in-pd,Pittsboro IN PD,30
pittsboro-nc-pd,Pittsboro NC PD,NA
pittsburg-ks-pd,Pittsburg KS PD,30
placer-county-ca-so,Placer County CA SO,30
polkton-nc-pd,Polkton NC PD,30
pontiac-il-pd,Pontiac IL PD,30
port-clinton-oh-pd,Port Clinton OH PD,30
port-hueneme-ca-pd,Port Hueneme CA PD,30
portage-mi-pd,Portage MI PD,30
porter-county-in-so,Porter County IN SO,30
powell-oh-pd,Powell OH PD,30
providence-pd-npd-lpr-study-ri,Providence RI PD,30
puyallup-wa-pd,Puyallup WA PD,30
raleigh-nc-pd,Raleigh NC PD,30
rantoul-il-pd,Rantoul IL PD,30
redwood-city-ca-pd,Redwood City CA PD,30
rhode-island-college-campus-ri-pd,Rhode Island College Campus RI PD,30
richland-county-oh-so,Richland County OH SO,30
richland-pd-wa,Richland PD WA,30
richmond-ca-pd,Richmond CA PD,30
richmond-va-pd,Richmond VA PD,30
rio-vista-ca-pd,Rio Vista CA PD,30
river-rouge-mi-pd,River Rouge MI PD,30
roanoke-va-pd,Roanoke VA PD,30
rockport-tx-pd-,Rockport TX PD,30
roselle-il-pd-,Roselle IL PD,30
rossford-oh-pd,Rossford OH PD,30
rossville-ga-pd,Rossville GA PD,30
round-rock-tx-pd,Round Rock TX PD,30
roxboro-nc-pd,Roxboro NC PD,30
san-diego-ca-pd,San Diego CA PD,30
san-joaquin-county-ca-so,San Joaquin County CA SO,30
san-jose-ca-pd,San Jose CA PD,365
san-leandro-pd-ca,San Leandro CA PD,30
san-marino-ca-pd,San Marino CA PD,365
san-mateo-ca-pd,San Mateo CA PD,30
san-mateo-county-ca-so,San Mateo County CA SO,30
san-rafael-ca-pd,San Rafael CA PD,30
santa-barbara-pd-ca,Santa Barbara PD CA,30
santa-clara-ca-pd,Santa Clara CA PD,30
santa-clara-county-ca-so,Santa Clara County CA SO,30
saratoga-ca-pd,DNU,-Infinity
