slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
co-lafayette-pd,CO,PD,30,30,85,,False,2026-08-26T09:46:39.361Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coastal-bend-college-campus-pd-,TX,PD,10,30,1204,,False,2026-08-26T17:32:56.626Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coconino-az-so,AZ,SD,20,30,,,False,2026-08-26T18:38:28.715Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cohasset-ma-pd,MA,PD,4,30,,,False,2026-08-26T09:49:14.183Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coldwater-mi-pd,MI,PD,5,365,1830,,True,2026-08-26T12:09:03.260Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colerain-township-oh-pd,OH,PD,22,30,,,False,2026-08-26T19:38:13.241Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
college-of-william-mary-va-pd-,VA,PD,,21,0,5,False,2026-08-26T23:38:05.879Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
college-place-wa-pd,WA,PD,8,30,,,False,2026-08-26T08:23:39.745Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
college-station-tx-pd,TX,PD,88,30,529,681,False,2026-08-26T16:17:15.030Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
collegedale-tn-pd,TN,PD,6,30,,,False,2026-08-26T21:02:11.203Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colma-ca-pd,CA,PD,11,30,327,,False,2026-08-26T21:51:35.195Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colonial-beach-va-pd,VA,PD,4,21,,,False,2026-08-26T11:13:54.620Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colonial-heights-va-pd,VA,PD,14,21,,,False,2026-08-26T18:36:26.101Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colorado-springs-co-pd,CO,PD,,,,,False,2026-06-01T15:43:21.707Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
colton-ca-pd-,CA,PD,41,30,320,,True,2026-08-26T21:33:27.169Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
columbia-county-fl-so,FL,SD,11,30,,,False,2026-08-26T11:55:04.083Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
columbia-heights-mn-pd,MN,PD,5,30,0,,True,2026-08-26T14:40:37.178Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
columbia-mo-pd,MO,PD,114,30,152,,True,2026-08-26T15:21:46.735Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
columbus-nc-pd,NC,PD,4,30,1614,,True,2026-08-26T22:38:48.679Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
columbus-oh-pd,OH,PD,,30,422,481,True,2026-08-26T23:02:52.190Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
commerce-city-co-pd,CO,PD,87,30,,,False,2026-08-26T12:26:48.500Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
contra-costa-county-ca-so,CA,SD,71,365,324,,True,2026-08-26T22:53:25.909Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
conway-ar-pd,AR,PD,20,30,,,False,2026-08-26T10:40:09.782Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coralville-ia-pd,IA,PD,2,30,3,,True,2026-02-25T13:58:35.811Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
corcoran-mn-pd,MN,PD,9,30,7,,True,2026-08-26T18:41:05.325Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
corinth-tx-pd,TX,PD,13,30,446,,False,2026-08-26T21:47:57.221Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coronado-ca-pd,CA,PD,137,365,303,,True,2026-08-26T14:26:37.989Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
coshocton-county-oh-so,OH,SD,8,30,0,1,True,2026-08-26T11:04:35.139Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
costa-mesa-ca-pd,CA,PD,46,365,344,,False,2026-08-26T15:33:42.671Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cottage-grove-wi-pd,WI,PD,12,30,1463,357,True,2026-08-26T23:12:39.911Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
council-bluffs-ia-pd,IA,PD,37,30,84,,True,2026-08-26T20:08:21.366Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cranbury-nj-pd,NJ,PD,12,1095,63,,True,2026-08-26T10:17:47.467Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cranston-ri-pd,RI,PD,36,30,18,,False,2026-08-26T11:02:34.230Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
craven-county-abc-board-nc,NC,SD,2,30,1623,,True,2026-08-26T14:08:32.316Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
creedmoor-nc-pd,NC,PD,,30,225,,False,2026-08-26T13:43:34.164Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
crow-wing-county-mn-so,MN,SD,12,30,59,,False,2026-08-27T00:30:05.035Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
culpeper-va-pd-,VA,PD,18,,,,False,2026-08-26T17:45:56.388Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
culver-city-ca-pd,CA,PD,52,30,0,,False,2026-08-26T11:23:53.368Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cumberland-ri-pd,RI,PD,12,30,88,,False,2026-08-26T20:35:49.812Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dakota-county-ne-so,NE,SD,4,30,702,,True,2026-08-26T08:03:24.688Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dallas-tx-pd,TX,PD,684,365,,,False,2026-08-27T00:24:59.400Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
damascus-va-pd,VA,PD,3,21,12,5,True,2026-08-26T22:49:44.864Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dane-county-wi-so,WI,SD,24,30,98,,True,2026-06-01T17:20:08.084Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
danville-ca-pd,CA,PD,51,365,354,,True,2026-08-26T15:49:14.399Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
danville-va-pd,VA,PD,21,21,,,False,2026-08-26T18:27:31.217Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
davenport-ia-pd,IA,PD,10,30,1139,,True,2026-07-22T18:14:34.263Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
davidson-nc-pd,NC,PD,24,30,,,True,2026-08-26T09:16:34.816Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
davie-county-nc-so,NC,SD,30,30,,,False,2026-08-26T11:53:30.884Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dayton-mn-pd,MN,PD,7,30,65,,False,2026-08-26T09:45:03.870Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dayton-oh-pd,OH,PD,193,30,,,False,2026-08-26T13:48:17.474Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
defiance-county-oh-so,OH,SD,6,30,1611,,True,2026-08-26T15:22:44.161Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
del-city-ok-pd,OK,PD,10,30,1036,,False,2026-08-26T20:53:24.456Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
delano-ca-pd,CA,PD,45,30,341,,True,2026-08-26T23:09:02.810Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
delmar-md-pd,MD,PD,1,30,1,13,True,2026-08-26T10:15:11.249Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
delphi-in-pd,IN,PD,5,30,1792,,True,2026-08-26T18:00:26.124Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
denton-tx-pd,TX,PD,10,30,101,,True,2026-08-26T09:24:18.775Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
denver-co-pd,CO,PD,,,,,False,2026-08-26T20:56:58.868Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
derby-ks-pd,KS,PD,16,30,1136,1592,False,2026-08-26T11:44:38.616Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
des-moines-wa-pd,WA,PD,14,21,80,,True,2026-08-26T16:21:55.771Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
detroit-lakes-mn-pd,MN,PD,6,30,56,42,False,2026-08-26T13:56:31.833Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dinuba-ca-pd,CA,PD,8,30,268,,True,2026-08-26T12:31:54.746Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dixon-ca-pd,CA,PD,31,30,346,,False,2026-08-26T21:23:03.162Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
douglas-county-co-so,CO,SD,,,,,False,2026-08-26T16:28:03.556Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dublin-ca-pd-acso,CA,PD,111,30,276,292,False,2026-08-26T16:01:06.822Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dublin-oh-pd,OH,PD,34,30,,,False,2026-08-26T15:27:54.308Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dublin-va-pd,VA,PD,4,21,160,,True,2026-08-26T14:55:39.336Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dubuque-ia-pd,IA,PD,22,30,,,True,2026-08-26T08:36:39.456Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
duck-nc-pd,NC,PD,4,30,201,213,True,2026-08-26T22:37:17.841Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dunwoody-ga-pd,GA,PD,436,30,,,False,2026-08-26T15:47:11.810Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
durango-co-pd,CO,PD,,30,,,False,2026-08-26T23:17:19.048Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
dutchess-county-ny-so,NY,SD,65,30,,,True,2026-08-26T19:40:25.929Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
east-hampton-village-ny-pd,NY,PD,10,30,918,,True,2026-08-26T11:31:35.393Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
east-palo-alto-ca-pd,CA,PD,25,30,299,,True,2026-08-26T13:42:32.634Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
east-providence-ri-pd,RI,PD,23,30,,,False,2026-08-26T18:58:13.595Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
eatonville-wa-pd,WA,PD,0,15,69,,False,2026-08-26T14:42:09.792Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edgewater-co-pd,CO,PD,6,30,86,,False,2026-08-26T20:58:35.379Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edina-mn-pd,MN,PD,22,30,,,False,2026-08-26T08:43:54.994Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edinburg-tx-pd,TX,PD,29,30,1144,,True,2026-08-26T14:24:03.553Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edison-nj-pd,NJ,PD,24,,,,False,2026-08-26T13:44:34.732Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edmond-ok-pd,OK,PD,21,30,,,False,2026-08-26T16:26:03.701Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
edmonds-wa-pd,WA,PD,19,21,,,False,2026-05-13T14:06:14.550Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
el-cerrito-ca-pd,CA,PD,40,30,321,,False,2026-06-01T14:41:37.123Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
el-paso-co-so,CO,SD,30,30,,,False,2026-08-27T00:33:09.932Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
el-paso-tx-pd-,TX,PD,150,30,,,False,2026-08-26T12:01:46.423Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
el-segundo-ca-pd,CA,PD,17,30,258,,False,2026-08-27T00:31:06.622Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
elgin-sc-pd,SC,PD,2,30,1652,,True,2026-08-26T18:42:07.799Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
elizabethtown-nc-pd,NC,PD,10,30,268,,True,2026-08-26T20:45:05.905Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
elk-river-mn-pd,MN,PD,18,30,59,174,True,2026-06-28T15:40:46.252Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ellensburg-wa-pd,WA,PD,13,21,,,True,2026-08-26T10:10:30.644Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
elmira-city-ny-pd,NY,PD,39,30,,,True,2026-08-26T21:30:48.865Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
elyria-oh-pd,OH,PD,25,30,1713,,True,2026-08-26T22:21:44.063Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
emeryville-ca-pd,CA,PD,16,30,,,False,2026-08-26T23:32:21.973Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
eminence-ky-pd,KY,PD,4,30,,,True,2026-08-26T17:48:33.435Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
emporia-va-pd-,VA,PD,483,,,,False,2026-08-26T17:09:39.511Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
escondido-ca-pd,CA,PD,8,30,309,,False,2026-08-26T23:46:24.120Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
euclid-oh-pd,OH,PD,,30,,,False,2026-08-26T20:37:52.509Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
eugene-or-pd,OR,PD,0,30,0,,True,2026-08-26T20:02:34.424Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
euharlee-ga-pd,GA,PD,14,30,305,859,False,2026-08-26T09:31:01.549Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
eureka-il-pd-,IL,PD,8,30,412,,True,2026-08-26T11:01:30.578Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
evanston-il-pd,IL,PD,6,30,,,False,2026-02-25T08:52:08.034Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
evansville-in-pd,IN,PD,56,30,,,False,2026-08-26T15:23:15.108Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
evendale-oh-pd,OH,PD,20,30,,,False,2026-08-26T23:44:50.921Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
everett-wa-pd,WA,PD,81,30,9,,False,2026-08-26T16:46:47.878Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fair-oaks-ranch-tx-pd,TX,PD,8,30,0,,True,2026-08-26T23:26:09.174Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fairfax-city-va-pd,VA,PD,22,21,,,False,2026-08-26T22:16:32.089Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fairfax-oh-pd,OH,PD,5,30,3265,,True,2026-08-26T22:55:27.182Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fairfield-ca-pd,CA,PD,231,30,357,,True,2026-08-26T08:13:16.944Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fairfield-oh-pd,OH,PD,59,30,,,False,2026-08-26T22:04:37.862Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
falmouth-me-pd,ME,PD,4,21,3,,False,2026-08-27T00:15:31.337Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fargo-nd-pd,ND,PD,21,30,,,True,2026-08-26T22:21:15.498Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
faribault-mn-pd,MN,PD,10,30,1,,False,2026-08-26T08:35:36.675Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
farmers-branch-tx-pd,TX,PD,47,30,,,False,2026-08-26T13:38:59.340Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
farmington-ct-pd,CT,PD,7,21,,,True,2026-08-26T19:49:05.615Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
ferndale-mi-pd,MI,PD,,,,,False,2026-08-26T15:34:08.591Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
firestone-co-pd,CO,PD,19,30,,,False,2026-08-26T09:46:04.327Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fitchburg-wi-pd,WI,PD,3,30,209,,False,2026-08-26T18:12:25.994Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
flagstaff-az-pd,AZ,PD,32,14,2,,False,2026-06-01T09:10:21.006Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
flock-pd,GA,PD,,30,,,False,2026-08-26T11:19:46.623Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
flock-safety-admins,GA,PD,,90,,,False,2026-04-22T08:54:57.166Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
flock-safety-sales,GA,PD,,,,,False,2026-08-26T16:45:41.238Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
florence-or-pd,OR,PD,6,30,23,,True,2026-08-26T08:40:47.318Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
florence-sc-pd,SC,PD,54,30,,,False,2026-08-26T08:54:17.314Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
floyd-county-va-so,VA,SD,4,21,,,False,2026-08-26T22:31:31.629Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
folly-beach-sc-pd,SC,PD,2,30,1324,,True,2026-08-26T11:22:49.623Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
folsom-ca-pd,CA,PD,,121,144,,True,2026-08-26T19:38:45.486Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fond-du-lac-wi-pd,WI,PD,14,30,190,,False,2026-08-26T19:53:45.371Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fontana-ca-pd,CA,PD,50,30,314,,True,2026-08-26T17:47:34.828Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
foothilldeanza-ca-pd,CA,PD,3,30,0,228,True,2026-08-26T18:41:36.309Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
forest-heights-md-pd,MD,PD,24,365,,,False,2026-08-26T22:44:32.644Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
forest-lake-mn-pd,MN,PD,17,30,6,2,True,2026-08-26T09:41:57.561Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
forest-park-oh-pd,OH,PD,35,30,3142,,True,2026-08-26T22:50:20.069Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fort-bragg-ca-pd,CA,PD,7,30,296,264,True,2026-08-27T00:10:53.234Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fort-collins-co-pd,CO,PD,15,30,70,,False,2026-06-01T15:23:16.489Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fort-smith-ar-pd,AR,PD,44,7,62,,True,2026-08-26T20:04:44.093Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fort-wayne-in-pd-,IN,PD,42,180,2862,1485,False,2026-08-26T12:46:28.528Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
foster-city-ca-pd,CA,PD,28,30,13,,True,2026-08-26T16:33:50.611Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fountain-co-pd,CO,PD,25,30,,,False,2026-08-26T09:52:52.230Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fountain-valley-ca-pd,CA,PD,10,30,269,,False,2026-08-26T17:40:46.135Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
framingham-ma-pd,MA,PD,,30,105,,True,2026-08-26T12:55:48.121Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
franklin-county-il-so,IL,SD,,,,,False,2026-08-26T10:46:21.752Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
franklin-ma-pd,MA,PD,2,30,,,False,2026-08-26T22:02:26.970Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
franklin-nj-pd,NJ,PD,28,,,,False,2026-08-26T15:43:31.059Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
franklin-springs-ga-pd-,GA,PD,4,30,379,,True,2026-08-26T23:55:13.663Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
franklinton-nc-pd,NC,PD,0,30,138,,True,2026-08-26T11:35:17.679Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fredericksburg-city-va-pd,VA,PD,11,21,,,False,2026-08-26T11:47:17.370Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fremont-ca-pd,CA,PD,32,90,359,,False,2026-08-26T21:03:07.556Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fremont-oh-pd,OH,PD,10,30,1440,,True,2026-08-26T18:50:27.501Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fridley-mn-pd,MN,PD,8,30,70,475,True,2026-08-26T23:59:23.034Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
frisco-tx-pd,TX,PD,130,30,403,,False,2026-08-26T18:39:39.198Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
front-royal-va-pd,VA,PD,6,21,,,False,2026-08-26T10:09:32.161Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
fullerton-ca-pd,CA,PD,19,30,329,277,False,2026-08-26T19:10:09.431Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
gahanna-oh-pd,OH,PD,,30,2074,1435,True,2026-08-26T23:01:14.104Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
galt-ca-pd,CA,PD,30,30,315,,True,2026-08-26T22:08:16.112Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
garner-nc-pd,NC,PD,,30,,,False,2026-08-26T09:06:46.543Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
gastonia-nc-pd,NC,PD,627,30,,,False,2026-08-26T17:59:30.213Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
geneseo-il-pd-,IL,PD,4,30,372,,False,2026-08-26T09:35:46.118Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
genoa-township-oh-pd-,OH,PD,3,30,,,False,2026-08-26T18:29:05.848Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
georgetown-ky-pd,KY,PD,13,30,,,True,2026-08-26T09:09:18.302Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
gering-ne-pd-,NE,PD,7,30,389,120,False,2026-08-26T18:01:59.264Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
germantown-wi-pd,WI,PD,12,30,196,355,True,2026-08-26T10:34:28.786Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
gilroy-ca-pd,CA,PD,58,30,331,291,False,2026-08-26T16:10:28.990Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
glastonbury-ct-pd,CT,PD,22,21,46,,True,2026-08-26T10:13:38.277Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
glenarden-md-pd,MD,PD,0,365,1,,True,2026-08-26T14:25:04.095Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
glendale-ca-pd,CA,PD,118,30,320,,False,2026-08-26T13:59:08.602Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
goodyear-az-pd,AZ,PD,33,185,,,False,2026-08-26T08:18:31.129Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grafton-ma-pd,MA,PD,12,30,90,67,True,2026-08-26T21:59:54.425Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grafton-wi-pd,WI,PD,9,30,1287,800,True,2026-08-26T17:30:24.430Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grain-valley-mo-pd,MO,PD,12,30,,,False,2026-08-26T15:00:49.697Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
granbury-tx-pd,TX,PD,26,30,944,,False,2026-08-26T09:19:39.488Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
granby-co-pd,CO,PD,6,30,,,False,2026-08-26T08:16:56.207Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grand-island-ne-pd,NE,PD,9,30,1066,,False,2026-08-26T22:13:57.141Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grand-junction-co-pd,CO,PD,,30,71,127,False,2026-07-22T11:16:46.215Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grand-rapids-mn-pd,MN,PD,9,30,,,False,2026-08-26T11:42:00.991Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grand-traverse-county-mi-so,MI,SD,28,30,1503,,False,2026-08-26T19:39:48.686Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grandview-heights-oh-pd,OH,PD,8,30,190,,True,2026-08-26T08:08:04.478Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grass-valley-ca-pd,CA,PD,81,30,,,False,2026-08-26T21:53:40.178Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
great-parks-of-hamilton-county-oh-pd,OH,PD,13,30,,,False,2026-08-26T23:01:38.252Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
green-bay-wi-pd,WI,PD,46,30,3,,False,2026-08-26T19:17:23.852Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
green-brook-twp-nj-pd,NJ,PD,5,1095,66,,True,2026-08-26T08:49:38.084Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
greenfield-in-pd,IN,PD,17,30,2146,,True,2026-08-26T23:29:47.161Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
greensboro-nc-pd,NC,PD,4,30,198,,False,2026-08-26T17:51:12.490Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
groesbeck-tx-pd-,TX,PD,8,30,1122,482,True,2026-08-27T00:17:04.671Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
groton-ma-pd,MA,PD,6,30,1,,False,2026-08-26T16:16:08.687Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grottoes-va-pd,VA,PD,7,21,172,150,True,2026-08-26T23:28:13.216Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grove-city-oh-pd,OH,PD,33,30,,,False,2026-08-26T20:17:37.964Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
grover-beach-ca-pd,CA,PD,17,30,302,,False,2026-08-26T12:15:15.334Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
gurnee-il-pd,IL,PD,39,30,,,False,2026-08-26T21:01:12.197Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
guthrie-ok-pd,OK,PD,0,30,81,,True,2026-08-26T22:17:00.852Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
hagerstown-md-pd,MD,PD,20,30,0,42,True,2026-08-26T20:33:09.145Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
